卡牌名称,胜率,选取率,略过率
潦草急就,82.6,1.0,99.0
天选,79.6,0.2,99.8
希望灯塔,77.0,3.8,96.2
狠揍,74.6,0.2,99.8
击倒,74.0,1.0,99.0
战略大师,73.6,1.3,98.7
灾祸,72.0,0.1,99.9
怀旧,71.2,0.4,99.6
秘密技法,70.7,0.7,99.3
永恒铠甲,70.7,0.1,99.9
撕碎,70.6,0.1,99.9
飞镖,48.0,6.9,93.1
背刺,48.0,21.3,78.7
回响斩击,47.6,19.0,81.0
跟进,46.6,10.2,89.8
猎杀者,45.9,7.2,92.8
弹跳药瓶,45.8,16.1,83.9
翻越撑击,45.3,14.5,85.5
冲刺,43.6,7.4,92.6
精确切击,43.4,8.4,91.6
闪躲翻滚,43.0,3.4,96.6
先制打击,42.4,10.2,89.8
虚空,20.0,0,0
伤口,16.7,0,0.0
睡眠不佳,15.1,0,0.0
凡庸,13.6,0,0.0
灯火钥匙,2.3,92.2,7.8
愧疚,0.9,0,0.0
多尼斯异鸟蛋,0.7,0.0,0.0
藏宝图,0.3,0,0.0
弃用卡牌,0.0,0,0.0
瓦解,0.0,0,0.0
巨石,0.0,0,0.0
净化,63.0,3.8,96.2
熵,62.9,0.4,99.6
箭雨,62.5,0.3,99.7
金斧,61.6,0.5,99.5
飞溅,61.3,2.2,97.8
相信着你,60.7,11.2,88.8
深谋远虑,60.2,3.0,97.0
均衡,60.0,1.3,98.7
急躁,59.9,2.1,97.9
流星锤,59.6,0.3,99.7
亮剑,59.6,4.3,95.7
刀刃陷阱,66.5,30.9,69.1
腐蚀波,66.1,48.1,51.9
本能反应,65.5,51.6,48.4
隐秘匕首,63.3,34.8,65.2
萎靡,62.4,13.0,87.0
触媒,62.1,34.2,65.8
计算下注,62.1,50.1,49.9
刺杀,61.9,28.1,71.9
群蛇形态,61.9,25.2,74.8
墨之刃,61.9,20.8,79.2
幻影之刃,61.7,10.9,89.1
愚行,84.2,0,0.0
疯狂科学,83.9,0,0.0
霉运,81.5,0,0.0
羞耻,75.4,0,0.0
悔恨,74.0,0,0.0
腐朽,71.0,0.0,0.0
执迷,71.0,0,0.0
疑虑,69.2,0,0.0
铃铛的诅咒,65.8,0,0.0
苦恼,64.4,0,0.0
债务,64.0,0.0,0.0
究极打击,55.6,1.0,99.0
心神不宁,54.6,2.7,97.3
协同配合,54.0,2.2,97.8
准备时间,52.8,1.5,98.5
拦截,52.7,1.3,98.7
托举,52.2,1.5,98.5
心灵震摄,52.0,0.9,99.1
勒紧,51.9,2.0,98.0
发现,51.7,3.0,97.0
连射,51.4,0.8,99.2
应急按钮,51.2,0.9,99.1
决胜一击,34.5,14.7,85.3
下砸,34.3,9.4,90.6
王者之拳,34.2,8.4,91.6
淬炼刀刃,33.7,18.8,81.2
碰撞轨迹,33.5,2.4,97.6
天穹之力,33.1,3.1,96.9
战火铸就,29.1,13.2,86.8
崇拜,28.2,100.0,0.0
陨星,26.9,100.0,0.0
堆栈,40.6,0.0,100.0
你好世界,39.8,0,0
开悟,38.5,0,0
双持,38.3,0.0,100.0
异鸟扑击,36.2,62.5,37.5
巩固,35.1,0.0,100.0
坚韧之环,31.9,13.5,86.5
交锋,31.5,0.0,100.0
啄击,31.2,2.9,97.1
孢子心灵,30.5,0,0.0
灵魂,25.0,0,0.0
明耀打击,43.2,26.0,74.0
共鸣,42.8,14.3,85.7
光子切割,42.4,11.7,88.3
隐秘藏品,42.3,27.2,72.8
群星斗篷,42.3,16.3,83.7
征服者,41.6,30.9,69.1
征召上前,41.5,33.9,66.1
传承之锤,40.9,9.8,90.2
创世之柱,40.8,6.3,93.7
收集光辉,40.6,22.3,77.7
引导之星,40.0,10.0,90.0
生产制造,59.5,8.2,91.8
非凡技艺,59.4,2.4,97.6
神气制胜,59.0,3.1,96.9
黑暗,58.0,2.7,97.3
究极防御,57.9,1.3,98.7
群起攻之,57.9,2.3,97.7
计策,57.2,1.8,98.2
横祸,57.1,1.2,98.8
滚石,56.7,0.3,99.7
孤注一掷,56.7,0.3,99.7
延伸,56.5,2.3,97.7
来生,52.6,12.4,87.6
致死性,52.2,18.8,81.2
根除,52.0,13.7,86.3
摧残,51.6,9.2,90.8
灰炽之灵,51.4,18.3,81.7
大限已至,51.1,25.6,74.4
末日降临,51.1,33.6,66.4
幻景,50.6,13.4,86.6
死亡行军,50.5,17.5,82.5
哨卫模式,50.3,26.8,73.2
坟家爆射,50.1,11.3,88.7
暗影之盾,47.2,17.6,82.4
打碎,47.0,26.1,73.9
聚变,46.3,19.7,80.3
爪击,46.1,12.8,87.2
引雷针,45.5,22.5,77.5
特斯拉线圈,45.5,22.8,77.2
充电,45.1,17.4,82.6
寒流,43.9,16.5,83.5
飞跃,43.7,5.6,94.4
集中打击,43.1,16.1,83.9
人工合成,43.1,7.3,92.7
球状闪电,42.5,18.6,81.4
折射,42.1,7.6,92.4
骚动,42.0,3.4,96.6
扫荡射线,41.9,9.5,90.5
超能光束,41.9,8.0,92.0
趁势打击,40.7,9.9,90.1
分离,38.6,10.6,89.4
电击,34.3,0,0
双重释放,33.7,0,0
引火,64.2,31.8,68.2
碎片整理,64.0,64.7,35.3
重启,63.6,41.7,58.3
散射炮,63.2,23.8,76.2
回响形态,62.6,57.6,42.4
螺旋钻击,62.5,17.5,82.5
万物一心,62.0,28.1,71.9
能量涌动,61.9,57.1,42.9
电流相生,61.8,54.0,46.0
再利用,61.6,31.7,68.3
祭品,64.6,62.5,37.5
扯碎,61.2,15.9,84.1
添柴,58.0,34.1,65.9
恶魔护盾,57.6,23.7,76.3
黑暗之拥,57.5,38.9,61.1
当然不动,57.4,33.0,67.0
绯红披风,57.1,39.8,60.2
契约终结,57.0,25.5,74.5
坚定不移,56.6,25.6,74.4
肉盾,56.4,11.2,88.8
倾泻,55.8,24.1,75.9
违逆,50.1,12.3,87.7
血肉戏法,49.9,11.4,88.6
洁净,49.8,27.8,72.2
死神形态,49.7,36.5,63.5
切断,49.7,20.4,79.6
厄运之衣,49.3,19.7,80.3
榨取,48.6,17.5,82.5
拖延,48.3,15.5,84.5
死亡之门,48.2,20.2,79.8
倒数计时,48.2,20.6,79.4
守墓人,47.9,28.7,71.3
鬼崇,71.1,39.2,60.8
余像,70.6,56.8,43.2
肾上腺素,70.2,72.4,27.6
跟踪,68.7,34.0,66.0
夹击,67.4,20.8,79.2
必备工具,67.4,46.4,53.6
谋划专家,67.0,44.7,55.3
磨蚀,66.9,37.3,62.7
新生之喜,39.9,10.0,90.0
霸权,39.8,13.4,86.6
葬送,39.2,16.5,83.5
流光溢彩,38.8,5.3,94.7
战利品,37.2,12.6,87.4
迫降,37.0,10.0,90.0
招架,36.9,12.4,87.6
太阳打击,36.4,12.9,87.1
新月长矛,35.9,14.0,86.0
王者之踢,35.3,7.8,92.2
星界脉冲,35.1,14.1,85.9
壁垒,55.7,35.1,64.9
巨像,54.4,32.9,67.1
烙印,54.3,39.0,61.0
燃烧契约,54.0,38.5,61.5
残酷,53.3,44.9,55.1
地狱狂徒,53.0,44.5,55.5
恶魔之焰,52.9,25.4,74.6
痛殴,52.9,40.9,59.1
战鼓,52.8,9.5,90.5
狱火,52.2,17.5,82.5
好勇斗狠,52.2,30.0,70.0
烟肉,56.9,17.1,82.9
旋转工艺,56.8,41.0,59.0
压缩,56.3,34.2,65.8
冰之长枪,56.2,20.5,79.5
全息影像,56.2,21.5,78.5
强撑,56.2,18.9,81.1
冷却剂,55.6,24.3,75.7
冰川,55.3,33.6,66.4
54.9%,54.9,10.7,89.3
冰寒,54.7,37.8,62.2
火箭飞拳,54.6,11.4,88.6
拳斗,51.0,1.2,98.8
花样百出,51.0,1.9,98.1
探寻打击,50.3,1.3,98.7
双打组合,49.6,1.2,98.8
闪亮登场,46.6,2.8,97.2
贪婪之手,46.4,0.2,99.8
万向斩,45.0,2.3,97.7
无休手斧,44.2,1.0,99.0
炸弹,43.2,1.0,99.0
天际钻头,65.8,19.1,80.9
大爆炸,61.9,68.2,31.8
锤子时间,60.6,21.8,78.2
抉择，抉择,59.5,51.1,48.9
月面射击,58.3,11.6,88.4
彗星,57.5,35.0,65.0
武器库,57.2,18.5,81.5
暴政,56.3,28.9,71.1
虚空形态,56.1,55.5,44.5
计划妥当,61.7,21.7,78.3
逃脱计划,60.7,34.8,65.2
刀扇,60.7,40.7,59.3
灵动步法,60.6,21.6,78.4
谋杀,60.5,16.1,83.9
暗影步,60.4,28.6,71.4
战术大师,59.9,54.0,46.0
爆发,58.6,32.7,67.3
融入暗影,58.6,25.4,74.6
暴露,58.3,38.1,61.9
专长,57.8,18.6,81.4
薪火之源,47.9,67.5,32.5
全身撞击,47.8,15.3,84.7
破灭,47.5,9.2,90.8
劫掠,47.4,25.0,75.0
势不可当,47.2,18.3,81.7
坚毅,47.2,13.8,86.2
狂宴,47.1,30.3,69.7
撕裂,46.7,17.7,82.3
灰烟打击,46.6,18.2,81.8
岩石铠甲,46.2,12.2,87.8
主宰,46.1,22.7,77.3
铸剑者,49.6,36.5,63.5
汇流,49.5,34.1,65.9
追踪之刃,48.6,42.4,57.6
黑洞,48.4,28.0,72.0
超质量体,48.3,4.2,95.8
王之凝视,47.9,18.3,81.7
倒映,47.8,32.1,67.9
伽马爆破,47.8,20.6,79.4
